train_logloss,train_auc,train_accuracy,test_logloss,test_auc,test_accuracy
0.3750481258120867,0.8665603773873041,0.8250053745278093,0.36241803723030486,0.8749955828550794,0.8302929795467109
0.36407829361678173,0.8760372929778705,0.8306255950370075,0.3605998461162215,0.8766776943695359,0.8318899330507954
0.3625361735805688,0.8773873659698481,0.8314548078990203,0.36040956047359457,0.87746351751939,0.8307229285670413
0.3619356700585598,0.8779504123004587,0.8312091151991646,0.35987427920266785,0.8774393669755636,0.8328726736686936
0.3615098977880022,0.8783114305808527,0.8317926353613219,0.35962883777396865,0.8777751745373393,0.8318285117621768
0.36131019247465457,0.8785021703608408,0.8315162310739842,0.35934504435799614,0.8780220119138501,0.832626988514219
0.3610799141125919,0.8787257947086697,0.8319769048862136,0.35921652365407947,0.8781178613449323,0.8325655672256004
0.36097204657837106,0.8788232721207792,0.8320690396486594,0.35918535928182554,0.8781204541305898,0.8327498310914563
0.36079298555093864,0.8789796311727955,0.8325297134608888,0.3591600173820379,0.878156794948919,0.832626988514219
0.36074412824425633,0.8789751168965387,0.8323454439359971,0.35913332661209263,0.8783488283640715,0.8323813033597445
0.36065136946196785,0.8791086620861466,0.8320076164736955,0.3590853119867349,0.8782732612078911,0.8328112523800749
0.36061659524390527,0.8791080584629214,0.8320997512361414,0.35899704043996206,0.8784799104067098,0.8321970394938886
0.360549874274551,0.8792045607913593,0.8324682902859248,0.35896391650115816,0.878448817888381,0.8324427246483631
0.3604851493050782,0.8792595833699635,0.8319154817112496,0.3589882446298175,0.8784008513537164,0.8329340949573122
0.3604613315231311,0.8792661974295762,0.8324375786984429,0.35894129459601526,0.8784782167322077,0.8320741969166513
0.36039386122259726,0.8793378170672868,0.8328982525106723,0.3589509206500226,0.8784389694847947,0.8329340949573122
0.3603887556717703,0.8793179181375469,0.8326525598108167,0.3588820515424538,0.8785328325075102,0.832626988514219
0.3603512928907912,0.8793414697616752,0.8326218482233346,0.3588987466625429,0.8785124665943614,0.832626988514219
0.3603012936283516,0.8794032714934237,0.8324682902859248,0.3588906847767287,0.8785071346561141,0.8326884098028376
0.3602780016751439,0.8794422232485537,0.832406867110961,0.3588724156457363,0.8785468628234474,0.8325655672256004
